Unit,,g,kg CO2 eq,kg CFC11 eq,kBq U-235 eq,kg NMVOC eq,disease inc.,CTUh,CTUh,mol H+ eq,kg P eq,kg N eq,mol N eq,CTUe,Pt,m3 depriv.,MJ,kg Sb eq,mPt,,,,mPt,kg CO2 eq
Food item in AGB 3.1 (SimaPro name),Food item in AGB 3.1 (short name),Serving size (g),Climate change per kg,Ozone depletion,Ionising radiation,Photochemical ozone formation,Particulate matter,"Human toxicity, non-cancer","Human toxicity, cancer",Acidification,"Eutrophication, freshwater","Eutrophication, marine","Eutrophication, terrestrial","Ecotoxicity, freshwater",Land use,Water use,"Resource use, fossils","Resource use, minerals and metals",Single score per kg,CIQUAL code,Food group,Food sub group,Single score per serving,Climate change per serving
"Mineral still water (Biovive), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Biovive), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76081,beverages,water,0.008254735,0.057903434
"Mineral still water (Celtic), bottled, very lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Celtic), bottled, very lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76010,beverages,water,0.008254735,0.057903434
"Mineral still water (Chambon), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Chambon), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76011,beverages,water,0.008254735,0.057903434
"Mineral still water (Chantemerle), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Chantemerle), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76012,beverages,water,0.008254735,0.057903434
"Mineral still water (Chaudfontaine), bottled, lightly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Chaudfontaine), bottled, lightly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76065,beverages,water,0.008254735,0.057903434
"Mineral still water (Christinen Brunnen), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Christinen Brunnen), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76066,beverages,water,0.008254735,0.057903434
"Mineral still water (Clos de l'Abbaye), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Clos de l'Abbaye), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76015,beverages,water,0.008254735,0.057903434
"Mineral still water (Contrex), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Contrex), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76016,beverages,water,0.008254735,0.057903434
"Mineral still water (Courmayer), bottled, strongly mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Courmayer), bottled, strongly mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76067,beverages,water,0.008254735,0.057903434
"Mineral still water (Dax), bottled, averagely mineralized, processed in FR | Ambient (long) | Already packed - PET | at supermarket {FR} S","Mineral still water (Dax), bottled, averagely mineralized",240,0.24126431,3.55E-07,0.104419269,0.000658982,1.35E-08,2.47E-09,1.21E-10,0.000934973,6.51E-05,0.000186575,0.001855226,1.015882754,1.80786344,0.173214504,5.992392163,9.13E-06,0.034394729,76017,beverages,water,0.008254735,0.057903434
